0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:44 +0800] "GET /pingyou/eval/zhu/CSS/FONT/opensans-regular-webfont.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:44 +0800] "GET /pingyou/eval/zhu/CSS/FONT/opensans-semibold-webfont.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:44 +0800] "GET /pingyou/eval/zhu/js/jquery-1.8.3.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:44 +0800] "GET /pingyou/eval/zhu/CSS/FONT/opensans-bold-webfont.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:45 +0800] "GET /pingyou/eval/zhu/IMG/small-logo-01.png HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/js/classie.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/js/uisearch.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/js/jquery-1.8.3.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/js/uisearch.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/images/bg.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/CSS/IMG/trame.svg HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/CSS/IMG/ancre.svg HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [21/Jun/2019:16:24:50 +0800] "GET /pingyou/eval/zhu/CSS/IMG/plus.svg HTTP/1.1" 404 1060
